No.	Time		Fitness		Node
1	21.5		0.48		13
2	19.5		0.51		14
3	17.48		0.50		12
4	19.56		0.50		14
5	20.93		0.54		14
6	22.41		0.51		14
7	18.31		0.48		13
8	25.04		0.61		14
9	17.55		0.51		13
10	15.69		0.49		14
11	15.39		0.53		13
12	24.09		0.50		14
13	13.71		0.55		12
14	18.47		0.50		14
15	14.06		0.48		13
16	21.68		0.47		13
17	17.15		0.51		12
18	13.74		0.53		13
19	14.41		0.52		13
20	18.13		0.53		14
21	19.04		0.62		13
22	23.46		0.53		14
23	14.72		0.52		13
24	19.77		0.49		12
25	17.41		0.61		13
